"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
2,2018-09-08 21:09:00,1536433740.286,14237.5644652015,-19.1989816849817,-126.672904761905,16072.6252831032,-18.7722107579437,-120.052706215368,26.9189487179487,30.124979848181,54.9994006024312,-0.580052946170323
2,2018-09-07 05:00:00,1536289200.132,9667.68785347985,-17.8161501831502,-143.596197802198,12072.752137293,-17.4099646072618,-129.144490465216,-1.06699633699634,10.1352263928788,55.1650384218056,-0.760988681270356
2,2018-09-06 06:46:00,1536209160.163,11545.3196190476,-16.7071025641026,-133.776032967033,12275.2184015362,-16.9337154784313,-126.128915610135,-0.119212454212459,9.34080821731607,158.976572621822,-0.230717736936604
2,2018-09-07 06:09:00,1536293340.189,9707.09303663004,-17.7944102564103,-141.953263736264,12228.4576323313,-17.4349984907961,-129.075183262797,0.402018315018324,10.4048046635715,48.9148947459354,-0.797787342313276
2,2018-09-07 21:09:00,1536347340.164,12580.4857472527,-17.4034542124542,-119.332315018315,13574.1067707626,-17.5475186597725,-116.933562840556,19.8953186813187,23.4465864376244,68.4100809046265,-0.314391658869348
2,2018-09-08 05:00:00,1536375600.222,10485.0765641026,-18.9010036630037,-150.770461538462,13018.3832391632,-18.3392606135849,-138.331927409383,0.437567765567763,8.3821574992964,41.2639370519171,-0.802364491079978
2,2018-09-07 06:46:00,1536295560.882,9591.85775457875,-17.7521831501831,-143.807641025641,12311.9556828527,-17.4422701227189,-128.794134905426,-1.79017582417583,10.7440260763253,54.943273628073,-0.860668842102092
2,2018-09-07 21:46:00,1536349560.813,11861.747762963,-17.5715666666667,-130.297937037037,13375.9475267789,-17.6382684212086,-119.968145261243,10.2745962962963,21.1380021084258,106.238384943944,-0.479108338594587
2,2018-09-05 23:01:00,1536181260.308,11040.0533369963,-17.0323846153846,-121.664322344322,12228.5201331961,-16.3502370497316,-111.789250064757,14.5947545787546,19.0126463330957,60.0518749938902,-0.375295793942644
2,2018-09-05 08:27:00,1536128820.128,14319.4135750916,-15.7624395604396,-128.993879120879,13009.653585281,-17.0416471162664,-122.113943702497,-2.89436263736263,14.2192332276342,-172.881196510873,0.413596580773828
2,2018-09-08 06:09:00,1536379740.235,11579.7692747253,-18.6104615384615,-145.879241758242,13419.6492707422,-18.3621442503401,-137.110442729903,3.00445054945055,9.78671127281805,52.4726551972316,-0.582737485012591
2,2018-09-04 10:50:00,1536051000.759,22043.1699157509,-14.2921941391941,-119.745831501832,16599.5216832799,-16.6120497056695,-125.2064816741,-5.40827838827839,7.68991597125647,-45.3490960160589,1.72412586395842
2,2018-09-08 06:46:00,1536381960.028,12142.9813040293,-18.2315824175824,-145.532871794872,13615.8428133748,-18.3734643134937,-136.420191734285,0.319787545787534,10.5675227736639,95.0547990662209,-0.466492994206243
2,2018-09-06 09:09:00,1536217740.723,14185.1553223443,-14.8885494505495,-92.3867655677656,12637.181118241,-16.8587468523189,-118.711667223008,26.72163003663,16.1583075955439,112.957317003852,0.489306422972781
2,2018-09-04 11:27:00,1536053220.572,21911.1315164835,-14.1144652014652,-115.659556776557,16669.9441476044,-16.5564693983462,-124.559612545579,-2.74383516483518,7.89214264119106,-36.5722682092989,1.66000217277481
